gpstime,alt,vel
2022-08-28 18:56:10+00,12111,850
2022-08-28 18:56:10+00,12111,850
2022-08-28 20:19:09+00,12361,837
2022-08-28 20:19:09+00,12361,837
2022-08-28 20:19:33+00,12349,838
2022-08-28 20:19:45+00,12348,838
2022-08-28 20:19:57+00,12351,837
2022-08-28 20:20:09+00,12348,0
2022-08-28 20:20:21+00,12348,0
2022-08-28 20:20:33+00,12349,0
2022-08-28 20:20:45+00,12347,0
2022-08-28 20:20:57+00,12346,0
2022-08-28 20:21:09+00,12347,0
2022-08-28 20:21:22+00,12349,0
2022-08-28 21:24:28+00,12350,0
2022-08-28 23:08:09+00,12350,0
2022-08-28 23:08:22+00,12448,880
2022-08-28 23:08:35+00,12446,881
2022-08-28 23:08:48+00,12447,881
2022-08-28 23:08:48+00,12447,881
2022-08-28 23:09:01+00,12445,882
2022-08-28 23:09:30+00,12430,883
2022-08-28 23:12:16+00,12501,0
2022-08-28 23:13:37+00,12415,0
2022-08-28 23:16:30+00,12427,0
2022-08-28 23:17:23+00,12420,878
2022-08-28 23:20:18+00,12411,0
2022-08-28 23:32:27+00,5284,666
2022-08-28 23:32:39+00,5193,664
2022-08-28 23:32:51+00,5081,662
2022-08-28 23:33:03+00,4967,660
2022-08-28 23:33:15+00,4851,658
2022-08-28 23:33:27+00,4736,656
2022-08-28 23:33:39+00,4623,654
2022-08-28 23:33:51+00,4504,650
2022-08-28 23:34:03+00,4381,630
2022-08-28 23:34:15+00,4283,636
2022-08-28 23:34:27+00,4178,633
2022-08-28 23:34:39+00,4072,631
2022-08-28 23:34:51+00,3967,629
2022-08-28 23:35:03+00,3858,626
2022-08-28 23:35:15+00,3754,622
2022-08-28 23:35:15+00,3754,622
2022-08-28 23:35:39+00,3599,605
2022-08-28 23:35:51+00,3562,588
2022-08-28 23:36:03+00,3512,578
2022-08-28 23:36:15+00,3492,559
2022-08-28 23:47:59+00,3,190
2022-08-28 23:49:15+00,-25,15
2022-08-28 23:49:15+00,-25,15
2022-08-28 23:50:55+00,-22,25
2022-08-28 23:50:55+00,-22,25
